Chinese gloss	English gloss	Language	Word	Source	Page no.
有		Caijia (Yangjiazhai)	han²¹	Guizhou (1982)	4
木		Caijia (Yangjiazhai)	so⁵⁵	Guizhou (1982)	10
本（书）		Caijia (Yangjiazhai)	pen⁵⁵	Guizhou (1982)	17
朵（花）		Caijia (Yangjiazhai)	tʰo⁵⁵	Guizhou (1982)	17
李子		Caijia (Yangjiazhai)	mei²¹tsɿ³³	Guizhou (1982)	18
杠子		Caijia (Yangjiazhai)	kan²⁴	Guizhou (1982)	11
来		Caijia (Yangjiazhai)	ɣɯ²¹	Guizhou (1982)	15
枕头		Caijia (Yangjiazhai)	ko²¹to⁵⁵	Guizhou (1982)	5
染		Caijia (Yangjiazhai)	ȵan²¹	Guizhou (1982)	11
柜子		Caijia (Yangjiazhai)	tu²⁴	Guizhou (1982)	3
柜子		Caijia (Yangjiazhai)	ɕiu³³tsɿ²¹	Guizhou (1982)	6
树		Caijia (Yangjiazhai)	so⁵⁵	Guizhou (1982)	3
根（竹竿）		Caijia (Yangjiazhai)	tu⁵⁵	Guizhou (1982)	17
梨		Caijia (Yangjiazhai)	həu⁵⁵tsɿ³³	Guizhou (1982)	17
梯子		Caijia (Yangjiazhai)	xe³³	Guizhou (1982)	4
棉花		Caijia (Yangjiazhai)	ʑɪ²¹	Guizhou (1982)	10
楼		Caijia (Yangjiazhai)	vu³³	Guizhou (1982)	30
歇		Caijia (Yangjiazhai)	səu⁵⁵	Guizhou (1982)	23
歌		Caijia (Yangjiazhai)	tsʰɿ³³	Guizhou (1982)	22
母		Caijia (Yangjiazhai)	ʑi³³	Guizhou (1982)	15
母亲		Caijia (Yangjiazhai)	ʑi³³	Guizhou (1982)	30
毛		Caijia (Yangjiazhai)	mau²¹	Guizhou (1982)	6
水		Caijia (Yangjiazhai)	sɿ⁵⁵	Guizhou (1982)	3
水		Caijia (Yangjiazhai)	sɿ³³	Guizhou (1982)	24
水漂		Caijia (Yangjiazhai)	pia²¹	Guizhou (1982)	6
水牛		Caijia (Yangjiazhai)	nai²¹	Guizhou (1982)	3
油		Caijia (Yangjiazhai)	tsɿ³³	Guizhou (1982)	3
洋芋		Caijia (Yangjiazhai)	tsʰɿ⁵⁵pəu⁵⁵	Guizhou (1982)	28
洗（脸）		Caijia (Yangjiazhai)	ʑa²¹	Guizhou (1982)	29
洞		Caijia (Yangjiazhai)	kʰa³³	Guizhou (1982)	4
流		Caijia (Yangjiazhai)	ʈʅ⁵⁵	Guizhou (1982)	3
淹		Caijia (Yangjiazhai)	ʔan⁵⁵	Guizhou (1982)	20
溃烂		Caijia (Yangjiazhai)	tsʰɿ²¹	Guizhou (1982)	26
滚		Caijia (Yangjiazhai)	len³³	Guizhou (1982)	20
漏		Caijia (Yangjiazhai)	ɣu²¹	Guizhou (1982)	4
火		Caijia (Yangjiazhai)	fai⁵⁵	Guizhou (1982)	3
灯		Caijia (Yangjiazhai)	tan³³	Guizhou (1982)	20
灵魂		Caijia (Yangjiazhai)	pʰia⁵⁵	Guizhou (1982)	3
炒		Caijia (Yangjiazhai)	ŋo²¹	Guizhou (1982)	27
烟		Caijia (Yangjiazhai)	ʔen²⁴	Guizhou (1982)	9
热		Caijia (Yangjiazhai)	pei²¹	Guizhou (1982)	20
煤		Caijia (Yangjiazhai)	tʰu⁵⁵	Guizhou (1982)	9
燕		Caijia (Yangjiazhai)	ʑan²⁴	Guizhou (1982)	11
父亲		Caijia (Yangjiazhai)	pa⁵⁵	Guizhou (1982)	3
牛		Caijia (Yangjiazhai)	ŋu²¹	Guizhou (1982)	4
犁田		Caijia (Yangjiazhai)	tɕi³³	Guizhou (1982)	29
狗		Caijia (Yangjiazhai)	kʰui⁵⁵	Guizhou (1982)	6
猪		Caijia (Yangjiazhai)	li²¹	Guizhou (1982)	3
猫		Caijia (Yangjiazhai)	mi²⁴	Guizhou (1982)	3
猴子		Caijia (Yangjiazhai)	ku²¹	Guizhou (1982)	5
猴子		Caijia (Yangjiazhai)	ku²⁴	Guizhou (1982)	24
瓜		Caijia (Yangjiazhai)	lu²¹	Guizhou (1982)	3
瓦		Caijia (Yangjiazhai)	ŋa²¹	Guizhou (1982)	4
瓦		Caijia (Yangjiazhai)	ŋa³³	Guizhou (1982)	12
甑		Caijia (Yangjiazhai)	tsan²¹	Guizhou (1982)	11
用		Caijia (Yangjiazhai)	tɕi²¹	Guizhou (1982)	26
田		Caijia (Yangjiazhai)	len²¹	Guizhou (1982)	3
画眉鸟		Caijia (Yangjiazhai)	hua³³mi²⁴	Guizhou (1982)	6
疯		Caijia (Yangjiazhai)	vu³³	Guizhou (1982)	3
疯		Caijia (Yangjiazhai)	vu²¹	Guizhou (1982)	19
病		Caijia (Yangjiazhai)	soŋ²¹	Guizhou (1982)	6
白		Caijia (Yangjiazhai)	pia³³	Guizhou (1982)	22
白布		Caijia (Yangjiazhai)	pia³³pu²¹	Guizhou (1982)	22
百、问		Caijia (Yangjiazhai)	pia⁵⁵	Guizhou (1982)	6
的		Caijia (Yangjiazhai)	ɣoŋ⁵⁵	Guizhou (1982)	18
皮		Caijia (Yangjiazhai)	pəu²¹	Guizhou (1982)	6
皮革		Caijia (Yangjiazhai)	kəu⁵⁵	Guizhou (1982)	4
盐		Caijia (Yangjiazhai)	san³³	Guizhou (1982)	1
盐		Caijia (Yangjiazhai)	san⁵⁵	Guizhou (1982)	25
看		Caijia (Yangjiazhai)	tsan²¹	Guizhou (1982)	14
看		Caijia (Yangjiazhai)	tsan³³	Guizhou (1982)	29
眼睛		Caijia (Yangjiazhai)	ȵi⁵⁵tsɿ³³	Guizhou (1982)	13
知道		Caijia (Yangjiazhai)	tiu³³	Guizhou (1982)	6
短		Caijia (Yangjiazhai)	tsʰu³³	Guizhou (1982)	3
石头		Caijia (Yangjiazhai)	tsa⁵⁵tu²¹	Guizhou (1982)	17
砍		Caijia (Yangjiazhai)	tau³³	Guizhou (1982)	23
砖		Caijia (Yangjiazhai)	tsuan³³	Guizhou (1982)	7
祖母		Caijia (Yangjiazhai)	ʑa³³	Guizhou (1982)	20
祖母		Caijia (Yangjiazhai)	ʑa³³	Guizhou (1982)	27
耒		Caijia (Yangjiazhai)	ɣɯ²¹	Guizhou (1982)	6
稈		Caijia (Yangjiazhai)	ka⁵⁵ka⁵⁵	Guizhou (1982)	24
窄狭		Caijia (Yangjiazhai)	tɕa²¹	Guizhou (1982)	12
窗户		Caijia (Yangjiazhai)	tsʰuan²⁴kʰa³³	Guizhou (1982)	24
竹子		Caijia (Yangjiazhai)	tso⁵⁵	Guizhou (1982)	13
竿		Caijia (Yangjiazhai)	ka²¹	Guizhou (1982)	17
笑		Caijia (Yangjiazhai)	so²¹	Guizhou (1982)	14
笔		Caijia (Yangjiazhai)	pi²¹	Guizhou (1982)	21
笨蛋		Caijia (Yangjiazhai)	ʈʰʅ⁵³³tu³³	Guizhou (1982)	3
筛子		Caijia (Yangjiazhai)	sai²⁴	Guizhou (1982)	11
箐		Caijia (Yangjiazhai)	ta³³	Guizhou (1982)	3
簸箕		Caijia (Yangjiazhai)	tɪ²¹	Guizhou (1982)	5
米		Caijia (Yangjiazhai)	mi³³	Guizhou (1982)	9
粪		Caijia (Yangjiazhai)	tsʰa³³	Guizhou (1982)	5
粮		Caijia (Yangjiazhai)	ma³	Guizhou (1982)	10
糠		Caijia (Yangjiazhai)	tsʰa³³	Guizhou (1982)	3
累		Caijia (Yangjiazhai)	kʰui²¹	Guizhou (1982)	6
红		Caijia (Yangjiazhai)	tsʰɿ⁵⁵	Guizhou (1982)	6
纺		Caijia (Yangjiazhai)	pʰoŋ⁵⁵	Guizhou (1982)	12
纺车		Caijia (Yangjiazhai)	tsʰai³³	Guizhou (1982)	6
线		Caijia (Yangjiazhai)	xu⁵⁵	Guizhou (1982)	4
细（布）		Caijia (Yangjiazhai)	mo³³	Guizhou (1982)	20
经常		Caijia (Yangjiazhai)	tu²¹ku⁵⁵	Guizhou (1982)	16
绒衣		Caijia (Yangjiazhai)	zoŋ²¹ʔəu³³	Guizhou (1982)	3
绵羊		Caijia (Yangjiazhai)	ʑu²¹	Guizhou (1982)	10
缎子		Caijia (Yangjiazhai)	tuan²⁴	Guizhou (1982)	7
编		Caijia (Yangjiazhai)	tsəu³³	Guizhou (1982)	29
缝（动词）		Caijia (Yangjiazhai)	ti³³	Guizhou (1982)	22
羊		Caijia (Yangjiazhai)	ʑu²¹	Guizhou (1982)	13
翻		Caijia (Yangjiazhai)	pʰei⁵⁵	Guizhou (1982)	12
老		Caijia (Yangjiazhai)	la²¹to⁵⁵	Guizhou (1982)	14
老苍苍		Caijia (Yangjiazhai)	la²¹to⁵⁵ŋuai²¹ŋuai²¹	Guizhou (1982)	6
老鹰		Caijia (Yangjiazhai)	ʑi²⁴	Guizhou (1982)	11
聋		Caijia (Yangjiazhai)	ʈan²¹	Guizhou (1982)	1
聋		Caijia (Yangjiazhai)	tan³³	Guizhou (1982)	6
肘		Caijia (Yangjiazhai)	ken³³kun³³	Guizhou (1982)	6
肚子		Caijia (Yangjiazhai)	mu²¹lu²¹	Guizhou (1982)	8
肠子		Caijia (Yangjiazhai)	vu²¹	Guizhou (1982)	3
肺		Caijia (Yangjiazhai)	pʰəu²¹	Guizhou (1982)	3
肿		Caijia (Yangjiazhai)	ʔoŋ³³	Guizhou (1982)	21
胆		Caijia (Yangjiazhai)	ta⁵⁵	Guizhou (1982)	12
背篓		Caijia (Yangjiazhai)	pau³³	Guizhou (1982)	6
脊背		Caijia (Yangjiazhai)	sui³³kui⁵⁵	Guizhou (1982)	6
脓		Caijia (Yangjiazhai)	noŋ²¹	Guizhou (1982)	3
脖子		Caijia (Yangjiazhai)	soŋ³³koŋ³³	Guizhou (1982)	6
脚		Caijia (Yangjiazhai)	ku⁵⁵	Guizhou (1982)	8
脸		Caijia (Yangjiazhai)	min²¹kʰoŋ⁵⁵	Guizhou (1982)	6
腰		Caijia (Yangjiazhai)	ʔo³³	Guizhou (1982)	4
船		Caijia (Yangjiazhai)	tsen²¹	Guizhou (1982)	6
芦笙		Caijia (Yangjiazhai)	lo²¹sɿ³³	Guizhou (1982)	11
花		Caijia (Yangjiazhai)	ʑɪ²¹	Guizhou (1982)	4
苋菜		Caijia (Yangjiazhai)	tsai²¹	Guizhou (1982)	6
苗子		Caijia (Yangjiazhai)	ʑo²⁴	Guizhou (1982)	4
苦		Caijia (Yangjiazhai)	kʰu⁵⁵	Guizhou (1982)	9
草		Caijia (Yangjiazhai)	tsʰo⁵⁵	Guizhou (1982)	3
荒		Caijia (Yangjiazhai)	ha⁵⁵	Guizhou (1982)	4
荞麦		Caijia (Yangjiazhai)	ku³³	Guizhou (1982)	7
菌子		Caijia (Yangjiazhai)	san⁵⁵	Guizhou (1982)	6
菜		Caijia (Yangjiazhai)	tsʰəu²¹	Guizhou (1982)	3
葡萄		Caijia (Yangjiazhai)	ta⁵⁵pian³³ku⁵⁵	Guizhou (1982)	6
葱		Caijia (Yangjiazhai)	tsʰoŋ³³	Guizhou (1982)	11
蒸		Caijia (Yangjiazhai)	tsu²¹	Guizhou (1982)	22
薄菲菲		Caijia (Yangjiazhai)	pʰu³³ʈʰʅ⁵⁵ʈʰʅ⁵⁵	Guizhou (1982)	3
薅（秧）		Caijia (Yangjiazhai)	kʰo²¹	Guizhou (1982)	26
藤		Caijia (Yangjiazhai)	mei²¹	Guizhou (1982)	19
虎		Caijia (Yangjiazhai)	kʰu⁵⁵	Guizhou (1982)	5
虫		Caijia (Yangjiazhai)	moŋ²¹ȵoŋ²⁴	Guizhou (1982)	6
蚂蚁		Caijia (Yangjiazhai)	pa²¹pəu²⁴	Guizhou (1982)	8
蚂蟥		Caijia (Yangjiazhai)	ma³³huan²¹	Guizhou (1982)	11
蛆		Caijia (Yangjiazhai)	ɬo⁵⁵	Guizhou (1982)	3
蛇		Caijia (Yangjiazhai)	fei⁵⁵	Guizhou (1982)	3
蛋		Caijia (Yangjiazhai)	sei⁵⁵	Guizhou (1982)	24
蛋黄		Caijia (Yangjiazhai)	ɣoŋ²¹kɯ³³	Guizhou (1982)	6
蛤蟆		Caijia (Yangjiazhai)	tsʰɿ⁵⁵pie³³me²⁴	Guizhou (1982)	6
街		Caijia (Yangjiazhai)	kʰəu⁵⁵	Guizhou (1982)	4
衣服		Caijia (Yangjiazhai)	ʔəu³³	Guizhou (1982)	4
袋子		Caijia (Yangjiazhai)	li³³	Guizhou (1982)	22
袖		Caijia (Yangjiazhai)	ʑiu²⁴	Guizhou (1982)	6
被子		Caijia (Yangjiazhai)	pʰei⁵⁵	Guizhou (1982)	3
被面		Caijia (Yangjiazhai)	pʰei⁵⁵mian²⁴	Guizhou (1982)	6
裙子		Caijia (Yangjiazhai)	kun²¹	Guizhou (1982)	6
裤子		Caijia (Yangjiazhai)	kʰu²¹	Guizhou (1982)	12
见		Caijia (Yangjiazhai)	ken³³	Guizhou (1982)	12
角		Caijia (Yangjiazhai)	ko⁵⁵	Guizhou (1982)	5
认		Caijia (Yangjiazhai)	sɿ³³	Guizhou (1982)	21
让		Caijia (Yangjiazhai)	zan³³	Guizhou (1982)	3
记		Caijia (Yangjiazhai)	nen²¹	Guizhou (1982)	29
话		Caijia (Yangjiazhai)	woŋ²¹	Guizhou (1982)	3
说		Caijia (Yangjiazhai)	ha³³	Guizhou (1982)	19
谁		Caijia (Yangjiazhai)	lau²⁴ȵi³³	Guizhou (1982)	18
谷		Caijia (Yangjiazhai)	pəu⁵⁵	Guizhou (1982)	12
豹子		Caijia (Yangjiazhai)	pəu²⁴	Guizhou (1982)	6
走（行）		Caijia (Yangjiazhai)	ha²¹	Guizhou (1982)	13
跑		Caijia (Yangjiazhai)	piau³³	Guizhou (1982)	6
路		Caijia (Yangjiazhai)	ho⁵⁵	Guizhou (1982)	4
跳		Caijia (Yangjiazhai)	tɕau³³	Guizhou (1982)	4
蹄子		Caijia (Yangjiazhai)	xe³³	Guizhou (1982)	30
身体		Caijia (Yangjiazhai)	sen³³tʰoŋ⁵⁵	Guizhou (1982)	3
躲		Caijia (Yangjiazhai)	tsu²¹	Guizhou (1982)	30
轿		Caijia (Yangjiazhai)	tɕʰo³³	Guizhou (1982)	4
过		Caijia (Yangjiazhai)	kua³³	Guizhou (1982)	6
这		Caijia (Yangjiazhai)	ʔau²¹	Guizhou (1982)	6
远		Caijia (Yangjiazhai)	ti⁵⁵	Guizhou (1982)	7
送		Caijia (Yangjiazhai)	soŋ²¹	Guizhou (1982)	12
那		Caijia (Yangjiazhai)	mo²⁴	Guizhou (1982)	18
酒		Caijia (Yangjiazhai)	tsu⁵⁵	Guizhou (1982)	3
酸		Caijia (Yangjiazhai)	sa³³	Guizhou (1982)	9
酸酸的		Caijia (Yangjiazhai)	sa³³ti³³ti²⁴lei³³	Guizhou (1982)	18
重		Caijia (Yangjiazhai)	toŋ³³	Guizhou (1982)	20
野		Caijia (Yangjiazhai)	ʑa³³	Guizhou (1982)	9
金		Caijia (Yangjiazhai)	kan³³	Guizhou (1982)	4
针		Caijia (Yangjiazhai)	tsan³³	Guizhou (1982)	22
钱		Caijia (Yangjiazhai)	tɕen²¹	Guizhou (1982)	4
钻子		Caijia (Yangjiazhai)	tsʰai³³tsuan²⁴	Guizhou (1982)	11
铁		Caijia (Yangjiazhai)	ɕi⁵⁵	Guizhou (1982)	4
铁丝		Caijia (Yangjiazhai)	tʰie²¹sɿ³³	Guizhou (1982)	6
铜		Caijia (Yangjiazhai)	toŋ²¹	Guizhou (1982)	12
银		Caijia (Yangjiazhai)	ȵen²¹	Guizhou (1982)	4
锅		Caijia (Yangjiazhai)	məu²¹	Guizhou (1982)	3
锤子		Caijia (Yangjiazhai)	ʈʅ²¹	Guizhou (1982)	3
锤子		Caijia (Yangjiazhai)	ʈʅ²¹	Guizhou (1982)	6
锯（动词）		Caijia (Yangjiazhai)	sei⁵⁵	Guizhou (1982)	29
长		Caijia (Yangjiazhai)	tu²¹	Guizhou (1982)	15
门		Caijia (Yangjiazhai)	ma²¹kʰa³³	Guizhou (1982)	16
问		Caijia (Yangjiazhai)	pia⁵⁵	Guizhou (1982)	23
间（屋）		Caijia (Yangjiazhai)	tsa⁵⁵	Guizhou (1982)	18
难		Caijia (Yangjiazhai)	nan²¹	Guizhou (1982)	15
雨		Caijia (Yangjiazhai)	zɿ³³	Guizhou (1982)	3
雷		Caijia (Yangjiazhai)	ʈʅ³³	Guizhou (1982)	3
青蛙		Caijia (Yangjiazhai)	me²⁴	Guizhou (1982)	5
鞋		Caijia (Yangjiazhai)	ɕi²¹	Guizhou (1982)	18
鞍子		Caijia (Yangjiazhai)	ŋue³³	Guizhou (1982)	6
韭菜		Caijia (Yangjiazhai)	tɕu⁵⁵	Guizhou (1982)	11
额头		Caijia (Yangjiazhai)	ŋa³³tu²¹	Guizhou (1982)	25
风		Caijia (Yangjiazhai)	pan³³	Guizhou (1982)	3
飘带		Caijia (Yangjiazhai)	pʰiau³³tai²⁴	Guizhou (1982)	6
飞		Caijia (Yangjiazhai)	pu²¹	Guizhou (1982)	12
食		Caijia (Yangjiazhai)	sɿ⁵⁵	Guizhou (1982)	10
餐（饭）		Caijia (Yangjiazhai)	ti²¹	Guizhou (1982)	16
饭		Caijia (Yangjiazhai)	ʑu³³	Guizhou (1982)	22
饱		Caijia (Yangjiazhai)	pəu⁵⁵	Guizhou (1982)	15
马		Caijia (Yangjiazhai)	me³³	Guizhou (1982)	5
骑		Caijia (Yangjiazhai)	kəu²¹	Guizhou (1982)	23
骨头		Caijia (Yangjiazhai)	kui⁵⁵tu²¹	Guizhou (1982)	24
高		Caijia (Yangjiazhai)	ko³³	Guizhou (1982)	4
高高兴兴的		Caijia (Yangjiazhai)	tɕʰi⁵⁵kʰa⁵⁵tɕʰi⁵⁵ma²⁴lei³³	Guizhou (1982)	14
鬼		Caijia (Yangjiazhai)	kui⁵⁵	Guizhou (1982)	25
鱼		Caijia (Yangjiazhai)	ɣoŋ²⁴	Guizhou (1982)	4
鸡		Caijia (Yangjiazhai)	kɪ³³	Guizhou (1982)	5
鸭		Caijia (Yangjiazhai)	ʔa⁵⁵	Guizhou (1982)	4
鸽		Caijia (Yangjiazhai)	ko²⁴	Guizhou (1982)	11
鹰		Caijia (Yangjiazhai)	ʑi²⁴	Guizhou (1982)	5
麦		Caijia (Yangjiazhai)	tsoŋ²¹	Guizhou (1982)	3
麻		Caijia (Yangjiazhai)	la²¹tsʰɿ³³	Guizhou (1982)	26
麻疯		Caijia (Yangjiazhai)	lai²⁴	Guizhou (1982)	6
黄、龙		Caijia (Yangjiazhai)	ɣoŋ²¹	Guizhou (1982)	4
黄蜡		Caijia (Yangjiazhai)	ɣa³³	Guizhou (1982)	4
黄鳝		Caijia (Yangjiazhai)	huan²¹san²⁴	Guizhou (1982)	7
黑		Caijia (Yangjiazhai)	kʰɯ⁵⁵	Guizhou (1982)	24
鼻子		Caijia (Yangjiazhai)	pi²¹kɪ⁵⁵	Guizhou (1982)	13
龙		Caijia (Yangjiazhai)	ɣoŋ²¹	Guizhou (1982)	20
太阳	sun	Proto-Bai	nji⁴	Wang (2006)	179
月亮	moon	Proto-Bai	mji¹ᵃŋua⁴	Wang (2006)	179
星星	star	Proto-Bai	sjæn¹	Wang (2006)	179
雷	thunder	Proto-Bai	sky+cry	Wang (2006)	179
风	wind	Proto-Bai	pren¹	Wang (2006)	179
雨	rain	Proto-Bai	rwo⁴	Wang (2006)	179
雪	snow	Proto-Bai	sʰuɛ⁴	Wang (2006)	179
霜	frost	Proto-Bai	soŋ¹	Wang (2006)	179
冰	ice	Proto-Bai	sʰroŋ¹	Wang (2006)	179
火	fire	Proto-Bai	xuĩ²	Wang (2006)	179
烟	smoke	Proto-Bai	fire+sjen¹	Wang (2006)	179
气	air; breath	Proto-Bai	tɕʰi⁴	Wang (2006)	179
土地	earth	Proto-Bai	di³	Wang (2006)	180
山	mountain	Proto-Bai	sro⁴ (general); sren¹(snow mountain)	Wang (2006)	180
山坡	hillside; mountain slope	Proto-Bai	boŋ²	Wang (2006)	180
河	river	Proto-Bai	qoŋ¹(ᵃ)droŋ¹(ᵇ)	Wang (2006)	180
湖	lake	Proto-Bai	ɢɔ¹	Wang (2006)	180
海	sea	Proto-Bai	ɢɔ¹	Wang (2006)	180
路	path; road	Proto-Bai	tʰju²	Wang (2006)	180
土	soil; earth	Proto-Bai	tʰu²(ᵃ)nɛ¹ᵇ(ᵇ)	Wang (2006)	180
水田	paddy fields	Proto-Bai	water/paddy+field	Wang (2006)	180
石头	stone	Proto-Bai	dro⁴	Wang (2006)	180
沙子	sand	Proto-Bai	sʰrɔ¹	Wang (2006)	180
泥巴	mud	Proto-Bai	nɛ¹ᵇ	Wang (2006)	180
水	water	Proto-Bai	ɕui²	Wang (2006)	180
森林	forest	Proto-Bai	tree+group	Wang (2006)	180
金子	gold	Proto-Bai	tɕen¹	Wang (2006)	180
银子	silver	Proto-Bai	njen¹ᵇ	Wang (2006)	180
铜	copper, bronze	Proto-Bai	qæn²[doŋ¹]	Wang (2006)	181
铁	iron	Proto-Bai	tʰe⁴	Wang (2006)	181
盐	salt	Proto-Bai	pren¹	Wang (2006)	181
村子	village	Proto-Bai	jɯ⁴	Wang (2006)	181
桥	bridge	Proto-Bai	gu¹	Wang (2006)	181
头	head	Proto-Bai	djɯ¹	Wang (2006)	181
头发	hair	Proto-Bai	ɕa⁴	Wang (2006)	181
眼睛	eye	Proto-Bai	ŋuen²	Wang (2006)	181
乳房	breasts	Proto-Bai	ba⁴	Wang (2006)	181
肚子	belly	Proto-Bai	pju⁴	Wang (2006)	181
脚	foot	Proto-Bai	ko⁴	Wang (2006)	181
手	hand	Proto-Bai	sʰrɯ²	Wang (2006)	181
手指	finger	Proto-Bai	hand+tsri²	Wang (2006)	181
指甲	nail	Proto-Bai	hand+scale	Wang (2006)	181
女生殖器	female genitals	Proto-Bai	pri⁴	Wang (2006)	181
皮肤	skin	Proto-Bai	be¹	Wang (2006)	181
疤	scar	Proto-Bai	tsuŋ¹	Wang (2006)	181
血	blood	Proto-Bai	sʰua⁴	Wang (2006)	181
筋	tendon; sinew	Proto-Bai	tɕen¹	Wang (2006)	181
脑髓	brains	Proto-Bai	no²	Wang (2006)	182
骨头	bone	Proto-Bai	qua⁴	Wang (2006)	182
舌头	tongue	Proto-Bai	drɛ⁴	Wang (2006)	182
肺	lung	Proto-Bai	pʰra⁴	Wang (2006)	182
心脏	heart	Proto-Bai	sjen¹	Wang (2006)	182
肝	liver	Proto-Bai	qaŋ¹	Wang (2006)	182
胃	stomach	Proto-Bai	r-wu⁴	Wang (2006)	182
肠子	intestine; guts	Proto-Bai	droŋ¹	Wang (2006)	182
膀胱	bladder	Proto-Bai	pʰɯ¹	Wang (2006)	182
尿	excrement	Proto-Bai	sri²	Wang (2006)	182
屁	fart	Proto-Bai	pʰjɛ³	Wang (2006)	182
汗	sweat	Proto-Bai	ʁaŋ¹ᵇ	Wang (2006)	182
脓	pus	Proto-Bai	njoŋ¹ᵇ	Wang (2006)	182
声音	sound	Proto-Bai	tʰræn¹	Wang (2006)	182
尸体	corpse	Proto-Bai	tsʰoŋ¹	Wang (2006)	182
滩	Han Chinese	Proto-Bai	haŋ⁵	Wang (2006)	182
人	person	Proto-Bai	ȵjen¹ᵇ	Wang (2006)	182
老太太	old lady	Proto-Bai	jɔ⁵	Wang (2006)	182
男人	man	Proto-Bai	tsi²	Wang (2006)	182
妇女	woman	Proto-Bai	njo²	Wang (2006)	182
士兵	soldier	Proto-Bai	kroŋ¹	Wang (2006)	182
贼	thief	Proto-Bai	djɛ⁵	Wang (2006)	183
朋友	friend	Proto-Bai	dʑa⁴	Wang (2006)	183
客人	guest	Proto-Bai	qʰæ⁴	Wang (2006)	183
父亲	father	Proto-Bai	bo²(ᵇ)	Wang (2006)	183
母亲	mother	Proto-Bai	mɔ²	Wang (2006)	183
儿子	son	Proto-Bai	tsi²	Wang (2006)	183
女儿	daughter	Proto-Bai	njo²	Wang (2006)	183
孙子	grandson	Proto-Bai	sʰuaŋ¹	Wang (2006)	183
弟弟	younger brother	Proto-Bai	tʰje²	Wang (2006)	183
妹妹	younger sister	Proto-Bai	female+brother	Wang (2006)	183
侄子	nephew	Proto-Bai	di⁴	Wang (2006)	183
兄弟	brothers	Proto-Bai	njoŋ¹+brother	Wang (2006)	183
舅父	uncle (mother’s brother)	Proto-Bai	ɢɯ̃²	Wang (2006)	183
继母	stepmother	Proto-Bai	back+mother	Wang (2006)	183
牛	cattle	Proto-Bai	ŋɯ¹ᵇ	Wang (2006)	183
角	horn	Proto-Bai	qɔ⁴	Wang (2006)	183
蹄	hoof	Proto-Bai	bã¹	Wang (2006)	183
马	horse	Proto-Bai	mæ²	Wang (2006)	183
母马	mare	Proto-Bai	horse+mother	Wang (2006)	183
马鬃	horse mane	Proto-Bai	ɕa⁴	Wang (2006)	183
羊	sheep (general)	Proto-Bai	njo¹ᵇ	Wang (2006)	184
猪	pig	Proto-Bai	dɛ⁴	Wang (2006)	184
狗	dog	Proto-Bai	qʰuaŋ²	Wang (2006)	184
猫	cat	Proto-Bai	xua¹	Wang (2006)	184
鸡	chicken	Proto-Bai	qɛ¹	Wang (2006)	184
老虎	tiger	Proto-Bai	lɔ¹ᵇ	Wang (2006)	184
龙	dragon	Proto-Bai	loŋ¹ᵇ	Wang (2006)	184
猴子	monkey	Proto-Bai	suaŋ¹	Wang (2006)	184
豹子	leopard; panther	Proto-Bai	baŋ⁴/⁵	Wang (2006)	184
麂子	muntjac; barking deer	Proto-Bai	bjo⁴	Wang (2006)	184
麝香	musk	Proto-Bai	ji⁵+fragrant	Wang (2006)	184
刺蜻	hedgehog	Proto-Bai	ɢæ¹	Wang (2006)	184
老鼠	mouse	Proto-Bai	sro²	Wang (2006)	184
鸟	bird	Proto-Bai	tso⁴	Wang (2006)	184
鸟窝	bird’s nest	Proto-Bai	kʰro³	Wang (2006)	184
野鸡	pheasant	Proto-Bai	dʑi²	Wang (2006)	184
斑鸠	turtledove	Proto-Bai	tɕɯ¹kɯ¹	Wang (2006)	184
布谷鸟	cuckoo	Proto-Bai	pu²	Wang (2006)	184
蛇	snake	Proto-Bai	kʰro²	Wang (2006)	184
青蛙	frog	Proto-Bai	oŋ¹	Wang (2006)	185
鱼	fish	Proto-Bai	ŋo¹ᵃ	Wang (2006)	185
鳞	scale	Proto-Bai	qæ⁴	Wang (2006)	185
虫	worm	Proto-Bai	dzruŋ¹	Wang (2006)	185
蝨子	louse	Proto-Bai	ɕi⁴	Wang (2006)	185
蛆	maggot	Proto-Bai	dzro¹	Wang (2006)	185
蚊子	mosquito	Proto-Bai	mɯ⁴	Wang (2006)	185
蚂蟥	leech	Proto-Bai	tsji⁴	Wang (2006)	185
蚂蚁	ant	Proto-Bai	bri¹bɯ¹	Wang (2006)	185
蜜蜂	bee	Proto-Bai	pʰjuŋ¹	Wang (2006)	185
树	tree	Proto-Bai	drɯ³	Wang (2006)	185
根	root	Proto-Bai	tɛ⁴	Wang (2006)	185
根	root	Proto-Bai	mi¹ᵃ	Wang (2006)	185
叶子	leaf	Proto-Bai	sʰrɛ⁴	Wang (2006)	185
水果	fruit	Proto-Bai	qʰɔ²	Wang (2006)	185
柳树	willow	Proto-Bai	ɣɯ²	Wang (2006)	185
松树	pine	Proto-Bai	zroŋ¹	Wang (2006)	185
松香	resin, colophony	Proto-Bai	mɛ¹ᵃ	Wang (2006)	185
松明	pine torches	Proto-Bai	mɛ¹ᵃ	Wang (2006)	185
竹子	bamboo	Proto-Bai	tsro⁴	Wang (2006)	185
藤子	cane, vine	Proto-Bai	mɛ⁵	Wang (2006)	186
刺儿	thorn; splinter	Proto-Bai	tsʰje³	Wang (2006)	186
