No.	Form	Language	Gloss (1)	Gloss (2)
V107	*luuc	Proto-Monic	to err, do wrong, commit a fault, offence, to sin	to be wrong (i.e. not true, not socially acceptable, not materially suitable, not successful) (Intransitive Verb); wrong (Attributive); wrongly (Adverb)
V107.B	*lṳuc	Proto-Nyah Kur	to be wrong (i.e. not true, not socially acceptable, not materially suitable, not successful) (Intransitive Verb); wrong (Attributive); wrongly (Adverb)	
V107.A	*lṳt	Proto-Mon	to err, do wrong, commit a fault, offence, to sin	
V108	*kluuc	Proto-Monic	to germinate, to sprout	(seed, plant) to germinate, to come out of the ground; (teeth, nail, hair) to grow from the base (Intransitive Verb)
V108.B	*khlu̱uc	Proto-Nyah Kur	(seed, plant) to germinate, to come out of the ground; (teeth, nail, hair) to grow from the base (Intransitive Verb)	
V108.A	*klu̱t	Proto-Mon	to germinate, to sprout	
V109	*ksac	Proto-Monic	to put in, to insert	
V109.A	*chɔ̱t	Proto-Mon	to put in, to insert	
V109a	*k[r]sac	Proto-Monic		(body part, skin) to have an inside lump or growth (Intransitive Verb)
V109a.B	*kəɕɛ̱c	Proto-Nyah Kur	(body part, skin) to have an inside lump or growth (Intransitive Verb)	
V110	*saac	Proto-Monic	to scoop up, draw, bale	to bale (water)
V110.B	*ɕa̱ac	Proto-Nyah Kur	to bale (water)	
V110.A	*sa̱t	Proto-Mon	to scoop up, draw, bale	
V110a	*krn-saac	Proto-Monic		to scatter (seeds) by throwing them upwards, one handful at a time; to throw (water) up; to splash (water) (on someone, on each other) (Transitive Verb); (rain) to spray in (Verb of Motion)
V110a.B	*krəɕa̱ac	Proto-Nyah Kur	to scatter (seeds) by throwing them upwards, one handful at a time; to throw (water) up; to splash (water) (on someone, on each other) (Transitive Verb); (rain) to spray in (Verb of Motion)	
V111	*phiic	Proto-Monic	to fear, be afraid of	to be afraid (Intransitive Verb); to fear (someone, something, that something will happen) (Transitive Verb)
V111.B	*phi̱ic	Proto-Nyah Kur	to be afraid (Intransitive Verb); to fear (someone, something, that something will happen) (Transitive Verb)	
V111.A	*phʌ̱i̯c	Proto-Mon	to fear, be afraid of	
V111a	*[p/b]-[r]-hiic	Proto-Monic		frightening (spirit) (Attributive)
V111a.B	*pəhi̱ic	Proto-Nyah Kur	frightening (spirit) (Attributive)	
V112	*theəc	Proto-Monic	to be good, right, seemly, auspicious, fair; to be right to, ought	
V112.A	*thʌ̱i̯c	Proto-Mon	to be good, right, seemly, auspicious, fair; to be right to, ought	
V112a	*t-m-heəc	Proto-Monic		(people, typically of women) to be very good-looking, very attractive (Intransitive Verb)
V112a.B	*təmhe̱ec	Proto-Nyah Kur	(people, typically of women) to be very good-looking, very attractive (Intransitive Verb)	
V113	*kt[h]aac	Proto-Monic	to rub between palms of the hands	to rub, roll (something) rapidly between palms of the hands; to rub one's (hands) (Transitive Verb)
V113.B	*kətha̱ac	Proto-Nyah Kur	to rub, roll (something) rapidly between palms of the hands; to rub one's (hands) (Transitive Verb)	
V113.A	*kəta̱t	Proto-Mon	to rub between palms of the hands	
V114	*khɔɔc	Proto-Monic		to whistle (Intransitive Verb) (not to whistle at)
V114.B	*khu̱ac	Proto-Nyah Kur	to whistle (Intransitive Verb) (not to whistle at)	
V114a	*k-c-hɔɔc	Proto-Monic	to whistle	
V114a.A	*[kə]cho̱t	Proto-Mon	to whistle	
V114b	*p-c-hɔɔc	Proto-Monic	to whistle	
V114b.A	*[pə]cho̱t	Proto-Mon	to whistle	
V115	*kuɲ	Proto-Monic	to be hump-backed	(humans, animals, typically domestic dogs) to sleep (in foetal position) (Adverb)
V115.B	*ku̱ɲ	Proto-Nyah Kur	(humans, animals, typically domestic dogs) to sleep (in foetal position) (Adverb)	
V115.A	*ku̱n	Proto-Mon	to be hump-backed	
V116	*taaɲ	Proto-Monic	to plait, twill (bamboo, cane, or similar material)	to plait (especially rattan mats); to weave (cloth) (Transitive Verb)
V116.B	*ta̱aɲ	Proto-Nyah Kur	to plait (especially rattan mats); to weave (cloth) (Transitive Verb)	
V116.A	*ta̱n	Proto-Mon	to plait, twill (bamboo, cane, or similar material)	
V117	*[c]ɗaɲ	Proto-Monic	to catch with hook and line, to angle	
V117.A	*ɗɔ̱n	Proto-Mon	to catch with hook and line, to angle	
V117a	*c-rn-ɗaɲ	Proto-Monic	fishhook	fishhook
V117a.B	*cərndɛ̱ɲ	Proto-Nyah Kur	fishhook	
V117a.A	*həno̱n	Proto-Mon	fishhook	
V118	*paɲ	Proto-Monic	to shoot (e.g. an animal) (with e.g. a bow); to shoot (a gun, a bow...) (Transitive Verb)	to shoot (e.g. an animal) (with e.g. a bow); to shoot (a gun, a bow...)
V118.B	*pɛ̱ɲ	Proto-Nyah Kur	to shoot (e.g. an animal) (with e.g. a bow); to shoot (a gun, a bow...)	
V118.A	*pɔ̱n	Proto-Mon	to shoot (e.g. an animal) (with e.g. a bow); to shoot (a gun, a bow...) (Transitive Verb)	
V119	*smaaɲ	Proto-Monic	to inquire	to inquire (about something) (from someone) (Transitive Verb)
V119.B	*ɕhma̱aɲ	Proto-Nyah Kur	to inquire (about something) (from someone) (Transitive Verb)	
V119.A	*hma̱n	Proto-Mon	to inquire	
V120	*raaɲ	Proto-Monic	to buy (Transitive Verb)	to buy (Transitive Verb)
V120.B	*ra̤aɲ	Proto-Nyah Kur	to buy (Transitive Verb)	
V120.A	*ra̤n	Proto-Mon	to buy (Transitive Verb)	
V121	*klaaɲ	Proto-Monic	to lick, taste	to lick (usually in order to taste); (fire) to come close to (e.g. a roof) (Transitive Verb)
V121.B	*khla̱aɲ	Proto-Nyah Kur	to lick (usually in order to taste); (fire) to come close to (e.g. a roof) (Transitive Verb)	
V121.A	*kla̱n	Proto-Mon	to lick, taste	
V122	*t-m-ʔiət	Proto-Monic	to be stingy	to be stingy with (e.g. rice); to feel possessive of (e.g. one's children) (Transitive Verb)
V122.B	*təmʔi̱at	Proto-Nyah Kur	to be stingy with (e.g. rice); to feel possessive of (e.g. one's children) (Transitive Verb)	
V122.A	*həʔə̱t	Proto-Mon	to be stingy	
V123	*sʔuut	Proto-Monic	become stale	(cooked food) to become stale (Intransitive Verb)
V123.B	*ɕhəʔu̱ut	Proto-Nyah Kur	(cooked food) to become stale (Intransitive Verb)	
V123.A	*sʔu̱t	Proto-Mon	become stale	
V124	*ʔət	Proto-Monic	all, exhausted, to be out of	(something) to be used up, all gone (Intransitive Verb); (to do something) all over, completely, thoroughly (Adverb)
V124.B	*ʔə̱t	Proto-Nyah Kur	(something) to be used up, all gone (Intransitive Verb); (to do something) all over, completely, thoroughly (Adverb)	
V124.A	*ʔɒ̱ə̯t	Proto-Mon	all, exhausted, to be out of	
V125	*kiət	Proto-Monic	to take, fetch, obtain, to wish to have, want	to take (Transitive Verb)
V125.B	*ci̱at	Proto-Nyah Kur	to take (Transitive Verb)	
V125.A	*ke̱t	Proto-Mon	to take, fetch, obtain, to wish to have, want	
V126	*ckat	Proto-Monic		to pinch (with nails) (Transitive Verb)
V126.B	*cəka̱t	Proto-Nyah Kur	to pinch (with nails) (Transitive Verb)	
V127	*tkat	Proto-Monic		to feel cold, feverish (Intransitive Verb)
V127.B	*təka̱t	Proto-Nyah Kur	to feel cold, feverish (Intransitive Verb)	
V127a	*t-ŋ-kat	Proto-Monic	cold season	early morning mist (Attributive)
V127a.B	*təŋka̱t	Proto-Nyah Kur	early morning mist (Attributive)	
V127a.A	*həkɔ̱t	Proto-Mon	cold season	
V128	*kuut	Proto-Monic	to cut off, amputate	
V128.A	*ku̱t	Proto-Mon	to cut off, amputate	
V128a	*t[r]-kuut	Proto-Monic	to be severed, to sever	
V128a.A	*həku̱t	Proto-Mon	to be severed, to sever	
V128b	*t-ŋ-kuut	Proto-Monic	a segment, a portion, a piece	a segment
V128b.B	*təŋku̱ut	Proto-Nyah Kur	a segment	
V128b.A	*həku̱t	Proto-Mon	a segment, a portion, a piece	
V129	*trŋkət	Proto-Monic	to startle, be startled	to be startled (Intransitive Verb)
V129.B	*tərŋkə̱t	Proto-Nyah Kur	to be startled (Intransitive Verb)	
V129.A	*təkɒ̱ə̯t	Proto-Mon	to startle, be startled	
V130	*kɯt	Proto-Monic	to bite	(people, animals, insects) to bite (Transitive Verb)
V130.B	*kɯ̱t	Proto-Nyah Kur	(people, animals, insects) to bite (Transitive Verb)	
V130.A	*ki̱t	Proto-Mon	to bite	
V131	*kcət	Proto-Monic	to die (Intransitive Verb)	to die (Intransitive Verb)
V131.B	*kəce̱t	Proto-Nyah Kur	to die (Intransitive Verb)	
V131.A	*chɒ̱ə̯t	Proto-Mon	to die (Intransitive Verb)	
V131a	*k-r-cət	Proto-Monic	to kill (Transitive Verb)	to kill (Transitive Verb)
V131a.B	*kərce̱t	Proto-Nyah Kur	to kill (Transitive Verb)	
V131a.A	*həcɒ̱ə̯t	Proto-Mon	to kill (Transitive Verb)	
V132	*[]cɯɯt	Proto-Monic	short time, moment	for a while, a while
V132.B	*cɯ̱ɯt	Proto-Nyah Kur	for a while, a while	
V132.A	*(ʔə-)cu̱t	Proto-Mon	short time, moment	
V133	*ɟ[u]t	Proto-Monic	to wipe	to wipe (e.g. dust) off (from a place); to rub (e.g. body-dirt) off (from e.g. one's arm) (Transitive Verb)
V133.B	*cɯ̤t	Proto-Nyah Kur	to wipe (e.g. dust) off (from a place); to rub (e.g. body-dirt) off (from e.g. one's arm) (Transitive Verb)	
V133.A	*cə̤t	Proto-Mon	to wipe	
V134	*tɯt	Proto-Monic	to come out	(person) to get out (e.g. of a room); (object) to come out (of a place) (Verb of Motion)
V134.B	*tɯ̱t	Proto-Nyah Kur	(person) to get out (e.g. of a room); (object) to come out (of a place) (Verb of Motion)	
V134.A	*tɒ̱i̯t	Proto-Mon	to come out	
V135	*t[]nat	Proto-Monic	upper end (Noun)	extremely (Adverb)
V135.B	*thana̱t	Proto-Nyah Kur	extremely (Adverb)	
V135.A	*kəno̱t	Proto-Mon	upper end (Noun)	
V136	*pat	Proto-Monic	to squeeze, press, wring	to squeeze (something) out (of an object) held in the palm of one hand; to squeeze (an object) in this way (Transitive Verb)
V136.B	*pa̱t	Proto-Nyah Kur	to squeeze (something) out (of an object) held in the palm of one hand; to squeeze (an object) in this way (Transitive Verb)	
V136.A	*pɔ̱t	Proto-Mon	to squeeze, press, wring	
V137	*smpɔɔt	Proto-Monic	to stroke, rub, pass hand over	to wipe or squeeze (something) out of a long object, in long deliberate strokes, usually with one hand (in order e.g. to squeeze fecal matter out of intestines, or wipe the slime off an eel with a leaf of teh tooth-brush tree, Streblus asper
V137.B	*ɕəmpu̱at	Proto-Nyah Kur	to wipe or squeeze (something) out of a long object, in long deliberate strokes, usually with one hand (in order e.g. to squeeze fecal matter out of intestines, or wipe the slime off an eel with a leaf of teh tooth-brush tree, Streblus asper)	
V137.A	*po̱t	Proto-Mon	to stroke, rub, pass hand over	
V138	*-put	Proto-Monic	to be cut off, truncated	(elongated object) to be truncated, cut in two (Intransitive Verb)
V138.B	*(m)-pu̱t	Proto-Nyah Kur	(elongated object) to be truncated, cut in two (Intransitive Verb)	
V138.A	*pɒ̱ə̯t	Proto-Mon	to be cut off, truncated	
V139	*bat	Proto-Monic	to be firm, fast	
V139.A	*pɔ̤t	Proto-Mon	to be firm, fast	
V139a	*k[-r-]bat	Proto-Monic		to wear across (chest, shoulder); to wrap (breasts) tightly in garment (Transitive Verb)
V139a.B	*kəpha̤t	Proto-Nyah Kur	to wear across (chest, shoulder); to wrap (breasts) tightly in garment (Transitive Verb)	
V140	*buut	Proto-Monic	to operate a rotary mechanical device, grind in quern; pass through rollers; turn on lathe, make fire by turning pointed stick in hole	to wax (a thread) (with wax) (Transitive Verb)
V140.B	*pṳut	Proto-Nyah Kur	to wax (a thread) (with wax) (Transitive Verb)	
V140.A	*pṳt	Proto-Mon	to operate a rotary mechanical device, grind in quern; pass through rollers; turn on lathe, make fire by turning pointed stick in hole	
V141	*t[l]mɓ[ɛɛ/aa]t	Proto-Monic	flattened	(roundish object) to be flattened by pressure (e.g. a metal pot or a snake crushed by wheels, a louse pinched by nails, breasts compressed in a garment) (Intransitive Verb)
V141.B	*tləmɓɛ̱ɛt	Proto-Nyah Kur	(roundish object) to be flattened by pressure (e.g. a metal pot or a snake crushed by wheels, a louse pinched by nails, breasts compressed in a garment) (Intransitive Verb)	
V141.A	*həɓa̱t	Proto-Mon	flattened	
V142	*kɓat	Proto-Monic	to seize, take power over; /cɔ̱m bɔ̱t/ to feel, palpate	to press (e.g. a ball of sticky rice, a clump of clay) gently in the palm of one hand, in order to give it a ball-shape (Transitive Verb)
V142.B	*khəba̱t	Proto-Nyah Kur	to press (e.g. a ball of sticky rice, a clump of clay) gently in the palm of one hand, in order to give it a ball-shape (Transitive Verb)	
V142.A	*ɓɔ̱t	Proto-Mon	to seize, take power over; /cɔ̱m bɔ̱t/ to feel, palpate	
V142a	*k-m-ɓat	Proto-Monic	portion of food	a fistful (especially of cooked sticky rice) (Noun)
V142a.B	*kəmba̱t	Proto-Nyah Kur	a fistful (especially of cooked sticky rice) (Noun)	
V142a.A	*həmo̱t	Proto-Mon	portion of food	
V143	*ɓ[ɔ/ə]t	Proto-Monic	to stretch, twist one's body	to bend (e.g. a branch); to curl (hair); to twist (one's body, finger...) (Transitive Verb)
V143.B	*bɔ̱t	Proto-Nyah Kur	to bend (e.g. a branch); to curl (hair); to twist (one's body, finger...) (Transitive Verb)	
V143.A	*ɓɒ̱ə̯t	Proto-Mon	to stretch, twist one's body	
V144	*dwət	Proto-Monic	to forget	to forget (something, to do something) (Transitive Verb); to forget (Intransitive Verb)
V144.B	*thəwə̤t	Proto-Nyah Kur	to forget (something, to do something) (Transitive Verb); to forget (Intransitive Verb)	
V144.A	*wə̤t	Proto-Mon	to forget	
V145	*klaat	Proto-Monic	to spit out; (animals) to ruminate	to spew out (e.g. remnants of betel-quid, fish-bones, fruit-pits...) (Transitive Verb)
V145.B	*khla̱at	Proto-Nyah Kur	to spew out (e.g. remnants of betel-quid, fish-bones, fruit-pits...) (Transitive Verb)	
V145.A	*kla̱t	Proto-Mon	to spit out; (animals) to ruminate	
V146	*lɔɔt	Proto-Monic	to fall prone, especially as a result of exhaustion or weakness	(animal, person) to fall (from a standing position) (Verb of Motion)
V146.B	*lṳat	Proto-Nyah Kur	(animal, person) to fall (from a standing position) (Verb of Motion)	
V146.A	*lo̤t	Proto-Mon	to fall prone, especially as a result of exhaustion or weakness	
V147	*plət	Proto-Monic	to be extinguished, eliminated, to set	(fire, light) to be extinguished (v.stative); (fire, light) to go out (by itself) (Intransitive Verb)
V147.B	*phlə̱t	Proto-Nyah Kur	(fire, light) to be extinguished (v.stative); (fire, light) to go out (by itself) (Intransitive Verb)	
V147.A	*plɒ̱ə̯t	Proto-Mon	to be extinguished, eliminated, to set	
V147a	*p[-r-]lət	Proto-Monic	to extinguish, put out	to extinguish, put out (fire, light) (Transitive Verb)
V147a.B	*pələ̱t	Proto-Nyah Kur	to extinguish, put out (fire, light) (Transitive Verb)	
V147a.A	*pəlɒ̱ə̯t	Proto-Mon	to extinguish, put out	
V148	*t[-r-]lɯt	Proto-Monic	to be smooth, fluent; to slip	(person) to slip (on something) (Verb of Motion); (object) to be slippery (Intransitive Verb)
V148.B	*təlɯ̱t	Proto-Nyah Kur	(person) to slip (on something) (Verb of Motion); (object) to be slippery (Intransitive Verb)	
V148.A	*kəli̱t	Proto-Mon	to be smooth, fluent; to slip	
V149	*lʔun	Proto-Monic	to be flexible, soft to touch	(object, e.g. body-part, vegetal) to be flexible, soft to touch (Intransitive Verb)
V149.B	*ləʔu̱n	Proto-Nyah Kur	(object, e.g. body-part, vegetal) to be flexible, soft to touch (Intransitive Verb)	
V149.A	*ɗɒ̱ə̯n	Proto-Mon	to be flexible, soft to touch	
V149a	*l[--]ʔun	Proto-Monic		
V149b	*[t]l-m-ʔun	Proto-Monic		(vegetal) not yet grown, tender
V149b.B	*tləmʔu̱n	Proto-Nyah Kur	(vegetal) not yet grown, tender	
V150	*cŋgɯn	Proto-Monic	to carry (a rigid object) over one's shoulder	to carry (a load) on one's shoulder (Transitive Verb)
V150.B	*cəŋkɯ̤n	Proto-Nyah Kur	to carry (a load) on one's shoulder (Transitive Verb)	
V150.A	*təŋ[ɯ̱/i̱]n	Proto-Mon	to carry (a rigid object) over one's shoulder	
V151	*pcan	Proto-Monic	to send word, issue an order	to give instructions to (someone) (to do something); to say (something) when leaving a place or someone; to bid farewell to (someone) (Transitive Verb)
V151.B	*pəca̱n	Proto-Nyah Kur	to give instructions to (someone) (to do something); to say (something) when leaving a place or someone; to bid farewell to (someone) (Transitive Verb)	
V151.A	*phjɔ̱n	Proto-Mon	to send word, issue an order	
V152	*ɲan	Proto-Monic	to be near, close, to be tight, to be crowded	being close, being nearby (Adverb); usually reduplicated
V152.B	*ɲa̤n	Proto-Nyah Kur	being close, being nearby (Adverb); usually reduplicated	
V152.A	*ɲo̤n	Proto-Mon	to be near, close, to be tight, to be crowded	
V153	*tun	Proto-Monic	to go up, climb	(e.g. sun, water level, one's mood) to go up; (someone) to climb (e.g. a ladder, a tree, a hill); (someone) to climb on (e.g. a buffalo); (someone) to get up from (e.g. bed) (Verb of Motion); up (Post-Verb)
V153.B	*tu̱n	Proto-Nyah Kur	(e.g. sun, water level, one's mood) to go up; (someone) to climb (e.g. a ladder, a tree, a hill); (someone) to climb on (e.g. a buffalo); (someone) to get up from (e.g. bed) (Verb of Motion); up (Post-Verb)	
V153.A	*tɒ̱ə̯n	Proto-Mon	to go up, climb	
V153a	*p-tun	Proto-Monic	to raise, elevate, appoint to a position of eminence; to compose, to remit; to draw (a crossbow)	to arm (a spring-trap); to tense (the bow of a cross-bow, in order to tie the string to it)
V153a.B	*pətu̱n	Proto-Nyah Kur	to arm (a spring-trap); to tense (the bow of a cross-bow, in order to tie the string to it)	
V153a.A	*pətɒ̱ə̯n	Proto-Mon	to raise, elevate, appoint to a position of eminence; to compose, to remit; to draw (a crossbow)	
V153b	*t-[r]n-un	Proto-Monic	ladder, stairs	ladder, stairs
V153b.B	*tənu̱n	Proto-Nyah Kur	ladder, stairs	
V153b.A	*kəni̱n	Proto-Mon	ladder, stairs	
V154	*[p[r]/p]ɗiən	Proto-Monic	to light, kindle, be lit by	to transfer fire to (something) by direct contact with embers (Transitive Verb)
V154.B	*pədi̱an	Proto-Nyah Kur	to transfer fire to (something) by direct contact with embers (Transitive Verb)	
V154.A	*ɗe̱n	Proto-Mon	to light, kindle, be lit by	
V155	*ɗuun	Proto-Monic	to cook, simmer, distil	to place (e.g. a pot) on the stove (not necessarily for cooking, may be simply to keep it away from ants...); to heat (e.g. rice, curry, alcohol) on the stove (Transitive Verb)
V155.B	*du̱un	Proto-Nyah Kur	to place (e.g. a pot) on the stove (not necessarily for cooking, may be simply to keep it away from ants...); to heat (e.g. rice, curry, alcohol) on the stove (Transitive Verb)	
V155.A	*ɗu̱n	Proto-Mon	to cook, simmer, distil	
V156	*ban	Proto-Monic	to embrace, hug, put one's arms around	(e.g. a snake, a creeper, hair) to coil itself around (something) (Verb of Motion); to wrap (e.g. a wound with a piece of cloth) (Transitive Verb)
V156.B	*pa̤n	Proto-Nyah Kur	(e.g. a snake, a creeper, hair) to coil itself around (something) (Verb of Motion); to wrap (e.g. a wound with a piece of cloth) (Transitive Verb)	
V156.A	*pɔ̤n	Proto-Mon	to embrace, hug, put one's arms around	
V156a	*k-m-ban	Proto-Monic		to embrace (someone, each other...); to hold (e.g. one's knees, chest, head...) in one's arms (Transitive Verb)
V156a.B	*kəmpa̤n	Proto-Nyah Kur	to embrace (someone, each other...); to hold (e.g. one's knees, chest, head...) in one's arms (Transitive Verb)	
V157	*[ʔ]maan	Proto-Monic	to win, be able to do (especially physically)	to be successful in hunting, gambling (Intransitive Verb)
V157.B	*[ʔ]ma̱an	Proto-Nyah Kur	to be successful in hunting, gambling (Intransitive Verb)	
V157.A	*ma̤n	Proto-Mon	to win, be able to do (especially physically)	
V158	*wiən	Proto-Monic	to be crooked, deformed, lame	(animal, insect) to be curled upon itself, around a small object (Intransitive Verb)
V158.B	*wi̤an	Proto-Nyah Kur	(animal, insect) to be curled upon itself, around a small object (Intransitive Verb)	
V158.A	*we̤n	Proto-Mon	to be crooked, deformed, lame	
V158a	*[k[r]/k]wiən	Proto-Monic	(e.g. hair) the be curly	(animal, insect) to curl up upon itself (Intransitive Verb); (animal, insect) to curl (around a small object) (Transitive Verb)
V158a.B	*khwi̱an	Proto-Nyah Kur	(animal, insect) to curl up upon itself (Intransitive Verb); (animal, insect) to curl (around a small object) (Transitive Verb)	
V158a.A	*kəwə̱n	Proto-Mon	(e.g. hair) the be curly	
V159	*lən	Proto-Monic	to step on	to step on (something) (Transitive Verb); to walk in/on (e.g. a road, a hill, a field, a house) (Verb of Motion)
V159.B	*lə̤n	Proto-Nyah Kur	to step on (something) (Transitive Verb); to walk in/on (e.g. a road, a hill, a field, a house) (Verb of Motion)	
V159.A	*lə̤n	Proto-Mon	to step on	
V160	*chaan	Proto-Monic	to have compassion for; love, feel affection for	
V160.A	*cha̱n	Proto-Mon	to have compassion for; love, feel affection for	
V160a	*c-[l]-m-haan	Proto-Monic		(to do something) in common, by sharing (Adverb)
V160a.B	*[t]ləmha̱an	Proto-Nyah Kur	(to do something) in common, by sharing (Adverb)	
V161	*sŋʔaap	Proto-Monic	to yawn (Intransitive Verb)	to yawn (Intransitive Verb)
V161.B	*ɕəŋʔa̱ap	Proto-Nyah Kur	to yawn (Intransitive Verb)	
V161.A	*həʔa̱p	Proto-Mon	to yawn (Intransitive Verb)	
V162	*p[]kap	Proto-Monic	to turn (something) face down	to turn (something) face down (Transitive Verb)
V162.B	*pəka̱p	Proto-Nyah Kur	to turn (something) face down (Transitive Verb)	
V162.A	*həkɔ̱p	Proto-Mon	to turn (something) face down	
V163	*kəp	Proto-Monic	to catch fish by covering them with a fish-basket	
V163.A	*ka̱əp	Proto-Mon	to catch fish by covering them with a fish-basket	
V163a	*[s/c]ŋkəp	Proto-Monic	cover, lid, especially a close-fitting one, monk's shawl folded over one shoulder	cover, lid
V163a.B	*[c]əŋkəp	Proto-Nyah Kur	cover, lid	
V163a.A	*həka̱ə̯p	Proto-Mon	cover, lid, especially a close-fitting one, monk's shawl folded over one shoulder	
V164	*gaap	Proto-Monic	(free) to be forked; (to sit) astride (something)	
V164.A	*kap	Proto-Mon	(free) to be forked; (to sit) astride (something)	
V164a	*gaap	Proto-Monic	fork of a tree (Noun)	fork in a tree, major tree branch (Noun)
V164a.B	*ka̤ap	Proto-Nyah Kur	fork in a tree, major tree branch (Noun)	
V164a.A	*ka̤p	Proto-Mon	fork of a tree (Noun)	
V165	*cap	Proto-Monic	to adhere to, cleave to, be inherently connected, bound up with	(bird) to settle on, perch
V165.B	*ca̱p	Proto-Nyah Kur	(bird) to settle on, perch	
V165.A	*cɔ̱p	Proto-Mon	to adhere to, cleave to, be inherently connected, bound up with	
V166	*tep	Proto-Monic	to cover with earth, to bury	to insert (e.g. bananas, tubers) in embers, a common cooking technique (Transitive Verb)
V166.B	*te̱p	Proto-Nyah Kur	to insert (e.g. bananas, tubers) in embers, a common cooking technique (Transitive Verb)	
V166.A	*ta̱ə̯p	Proto-Mon	to cover with earth, to bury	
V167	*k[lm]dap	Proto-Monic	to brood, hatch	(hen) sit on (egg) (Transitive Verb)
V167.B	*kləmta̤p	Proto-Nyah Kur	(hen) sit on (egg) (Transitive Verb)	
V167.A	*kətɔ̤p	Proto-Mon	to brood, hatch	
V168	*[ʔ]mep	Proto-Monic	to be happy, to enjoy	good-tasting
V168.B	*ʔme̱p	Proto-Nyah Kur	good-tasting	
V168.A	*mi̤p	Proto-Mon	to be happy, to enjoy	
V169	*[d[]/d]riəp	Proto-Monic	to run	to run, run away (Verb of Motion); run after (something) (Transitive Verb)
V169.B	*thəri̤ap	Proto-Nyah Kur	to run, run away (Verb of Motion); run after (something) (Transitive Verb)	
V169.A	*kre̤p	Proto-Mon	to run	
V170	*rap	Proto-Monic	to hold, take old of	to hold, take, accept (something) in hand (Transitive Verb)
V170.B	*ra̤p	Proto-Nyah Kur	to hold, take, accept (something) in hand (Transitive Verb)	
V170.A	*rɔ̤p	Proto-Mon	to hold, take old of	
V171	*s-grɔɔp	Proto-Monic	to cover, be covered; to conceal	to cover (especially an opening, e.g. one's mouth, a jar...) (Transitive Verb)
V171.B	*che-khrɔ̤ɔp	Proto-Nyah Kur	to cover (especially an opening, e.g. one's mouth, a jar...) (Transitive Verb)	
V171.A	*kro̤p	Proto-Mon	to cover, be covered; to conceal	
V172	*liep	Proto-Monic	to know how to, be skilled in	skillfully (Adverb)
V172.B	*[]li̤ap	Proto-Nyah Kur	skillfully (Adverb)	
V172.A	*le̤p	Proto-Mon	to know how to, be skilled in	
V173	*lɔɔp	Proto-Monic	to enter	to enter (a place) (Verb of Motion)
V173.B	*lɔ̤ɔp	Proto-Nyah Kur	to enter (a place) (Verb of Motion)	
V173.A	*lṳp	Proto-Mon	to enter	
V174	*ksap	Proto-Monic	to intend, plan, think	
V174.A	*chɔ̱p	Proto-Mon	to intend, plan, think	
V174a	*k[-r-]sap	Proto-Monic		to whisper secretly (chiming compound)
V174a.B	*keɕa̱p	Proto-Nyah Kur	to whisper secretly (chiming compound)	
V175	*haap	Proto-Monic	to eat, especially with fingers	to eat (chiming compound)
V175.B	*ha̱ap	Proto-Nyah Kur	to eat (chiming compound)	
V175.A	*ha̱p	Proto-Mon	to eat, especially with fingers	
V176	*k[]ʔɛɛm	Proto-Monic	to hem, clear the throat	to clear one's throat
V176.B	*k[]eʔɛ̱ɛm	Proto-Nyah Kur	to clear one's throat	
V176.A	*həʔɛ̱m	Proto-Mon	to hem, clear the throat	
V177	*ckiem	Proto-Monic	to grasp in hand, pick up	to grasp in hand, pick up
V177.B	*ceki̱am	Proto-Nyah Kur	to grasp in hand, pick up	
V177.A	*ke̱m	Proto-Mon	to grasp in hand, pick up	
V177a	*c-ŋ-kiəm	Proto-Monic	fistful, girth of forearm	a fistful, a handful (Noun), especially in counting
V177a.B	*ceŋki̱am	Proto-Nyah Kur	a fistful, a handful (Noun), especially in counting	
V177a.A	*ke̱m	Proto-Mon	fistful, girth of forearm	
V178	*goom	Proto-Monic	to winnow, to clean (husked rice) by tossing	to winnow vertically (Transitive Verb)
V178.B	*ko̤om	Proto-Nyah Kur	to winnow vertically (Transitive Verb)	
V178.A	*kṳm	Proto-Mon	to winnow, to clean (husked rice) by tossing	
V179	*[t]ŋgem	Proto-Monic	to thrust at	to stab (something, someone) horizontally or from below (with a weapon) (Transitive Verb)
V179.B	*[t/c]eŋkə̤m	Proto-Nyah Kur	to stab (something, someone) horizontally or from below (with a weapon) (Transitive Verb)	
V179.A	*təŋa̱ə̯m	Proto-Mon	to thrust at	
V181	*[ɲ]cim	Proto-Monic		to raise (children, animals) (Transitive Verb); to entertain (people) at one's house
V181.B	*ci̱m	Proto-Nyah Kur	to raise (children, animals) (Transitive Verb); to entertain (people) at one's house	
V182	*pcum	Proto-Monic	to feed with premasticated food	to feed (food, medicine ...) (to someone) (Transitive Verb)
V182.B	*pəcu̱m	Proto-Nyah Kur	to feed (food, medicine ...) (to someone) (Transitive Verb)	
V182.A	*phja̱e̯m	Proto-Mon	to feed with premasticated food	
V183	*ʔɲim	Proto-Monic	yet, still, further	(to do something) before (something else happens) (Sentence-final Particle); for a short time (Adverb)
V183.B	*ɲi̱m	Proto-Nyah Kur	(to do something) before (something else happens) (Sentence-final Particle); for a short time (Adverb)	
V183.A	*ni̱m	Proto-Mon	yet, still, further	
V184	*tɔɔm	Proto-Monic	to cook, to distil	to cook (rice) (Transitive Verb)
V184.B	*tɔ̱ɔm	Proto-Nyah Kur	to cook (rice) (Transitive Verb)	
